show,housewife,insta,age,white,divorces,net_worth,arrest,seasons,show_rank
oc,Jo De La Rosa,47800.00,41.00,0.00,1.00,0.10,0.00,2.00,3.00
oc,Vicki Gunvalson,"1,100,00",59.00,1.00,2.00,7.00,0.00,13.00,3.00
oc,Jeana Keough,31600.00,66.00,1.00,1.00,5.00,0.00,5.00,3.00
oc,Lauri Peterson,104000.00,61.00,1.00,2.00,20.00,0.00,4.00,3.00
oc,Tammy Knickerbocker,2435.00,59.00,1.00,1.00,0.40,0.00,2.00,3.00
oc,Quinn Fry,2195.00,62.00,1.00,1.00,1.00,0.00,1.00,3.00
oc,Tamra Judge,1700000.00,54.00,1.00,2.00,3.00,0.00,12.00,3.00
oc,Lynne Curtin,17300.00,65.00,1.00,1.00,0.15,0.00,2.00,3.00
oc,Gretchen Rossi,922000.00,43.00,1.00,0.00,5.00,1.00,5.00,3.00
oc,Alexis Bellino,350000.00,45.00,1.00,1.00,2.00,0.00,4.00,3.00
oc,Peggy Tanous,68700.00,51.00,1.00,1.00,0.40,0.00,1.00,3.00
oc,Heather Dubrow,1600000.00,53.00,1.00,0.00,50.00,0.00,6.00,3.00
oc,Lydia McLaughlin,504000.00,40.00,1.00,0.00,20.00,0.00,2.00,3.00
oc,Lizzie Rovsek,342000.00,42.00,1.00,1.00,25.00,0.00,1.00,3.00
oc,Shannon Storms Beador,1200000.00,57.00,1.00,1.00,20.00,0.00,8.00,3.00
oc,Meghan King Edmonds,1000000.00,37.00,1.00,2.00,5.00,0.00,3.00,3.00
oc,Kelly Dodd,783000.00,46.00,0.00,1.00,10.00,1.00,5.00,3.00
oc,Peggy Sulahian,136000.00,48.00,1.00,1.00,8.00,0.00,1.00,3.00
oc,Gina Kirschenheiter,697000.00,37.00,1.00,1.00,1.00,1.00,4.00,3.00
oc,Emily Simpson,529000.00,46.00,1.00,0.00,2.50,0.00,4.00,3.00
oc,Braunwyn Windham-Burke,328000.00,44.00,1.00,0.00,3.00,0.00,2.00,3.00
oc,Elizabeth Lyn Vargas,84400.00,46.00,1.00,1.00,30.00,0.00,1.00,3.00
oc,Jen Armstrong,37100.00,42.00,1.00,0.00,2.00,1.00,1.00,3.00
oc,Noella Bergener,77200.00,36.00,0.00,1.00,1.00,0.00,1.00,3.00
ny,Bethenny Frankel,2400000.00,51.00,1.00,2.00,80.00,0.00,8.00,5.00
ny,Luann de Lesseps,1000000.00,56.00,1.00,2.00,30.00,1.00,12.00,5.00
ny,Alex McCord,54300.00,48.00,1.00,0.00,2.00,0.00,4.00,5.00
ny,Ramona Singer,907000.00,65.00,1.00,1.00,18.00,0.00,13.00,5.00
ny,Jill Zarin,588000.00,58.00,1.00,1.00,20.00,0.00,4.00,5.00
ny,Kelly Killoren Bensimon,529000.00,53.00,1.00,1.00,25.00,1.00,3.00,5.00
ny,Sonja Morgan,1100000.00,58.00,1.00,1.00,8.00,1.00,11.00,5.00
ny,Cindy Barshop,8112.00,57.00,1.00,0.00,6.00,0.00,1.00,5.00
ny,Aviva Drescher,109000.00,51.00,1.00,1.00,20.00,0.00,2.00,5.00
ny,Carole Radziwill,647000.00,58.00,1.00,0.00,50.00,0.00,6.00,5.00
ny,Heather Thomson,191000.00,51.00,1.00,0.00,10.00,0.00,3.00,5.00
ny,Kristen Taekman,262000.00,44.00,1.00,0.00,20.00,0.00,2.00,5.00
ny,Dorinda Medley,1000000.00,57.00,1.00,1.00,20.00,0.00,6.00,5.00
ny,Jules Wainstein,63700.00,40.00,0.00,1.00,1.50,1.00,1.00,5.00
ny,Tinsley Mortimer,696000.00,46.00,1.00,1.00,35.00,1.00,4.00,5.00
ny,Leah McSweeney,552000.00,39.00,1.00,1.00,3.50,1.00,2.00,5.00
ny,Eboni K. Williams,248000.00,38.00,0.00,1.00,3.00,1.00,1.00,5.00
a,NeNe Leakes,4000000.00,54.00,0.00,1.00,14.00,1.00,10.00,1.00
a,DeShawn Snow,29100.00,48.00,0.00,1.00,1.50,0.00,1.00,1.00
a,Shereé Whitfield,1000000.00,52.00,0.00,1.00,0.80,0.00,7.00,1.00
a,Lisa Wu,220000.00,51.00,0.00,2.00,0.50,0.00,2.00,1.00
a,Kim Zolciak-Biermann,3100000.00,43.00,1.00,1.00,3.00,0.00,5.00,1.00
a,Kandi Burruss,9400000.00,45.00,0.00,0.00,30.00,0.00,13.00,1.00
a,Cynthia Bailey,3600000.00,54.00,0.00,1.00,2.50,0.00,11.00,1.00
a,Phaedra Parks,2800000.00,48.00,0.00,1.00,6.00,0.00,7.00,1.00
a,Kenya Moore,2100000.00,51.00,0.00,1.00,0.80,0.00,9.00,1.00
a,Porsha Williams,6700000.00,40.00,0.00,1.00,0.50,1.00,8.00,1.00
a,Claudia Jordan,591000.00,48.00,0.00,1.00,1.50,0.00,1.00,1.00
a,Kim Fields,1100000.00,52.00,0.00,1.00,8.00,1.00,1.00,1.00
a,Shamari DeVoe,464000.00,41.00,0.00,0.00,4.00,0.00,1.00,1.00
a,Eva Marcille,4600000.00,37.00,0.00,0.00,4.00,0.00,2.00,1.00
a,Drew Sidora,486000.00,36.00,0.00,0.00,1.50,0.00,2.00,1.00
a,Marlo Hampton,1400000.00,43.00,0.00,0.00,0.60,1.00,1.00,1.00
a,Sanya Richards-Ross,367000.00,36.00,0.00,0.00,2.50,0.00,1.00,1.00
nj,Teresa Giudice,2200000.00,49.00,1.00,1.00,0.50,1.00,12.00,2.00
nj,Jacqueline Laurita,701000.00,51.00,1.00,1.00,0.50,1.00,6.00,2.00
nj,Caroline Manzo,804000.00,60.00,1.00,0.00,12.00,0.00,5.00,2.00
nj,Dina Manzo,564000.00,49.00,1.00,1.00,6.50,0.00,3.00,2.00
nj,Danielle Staub,455000.00,59.00,1.00,3.00,-0.50,1.00,2.00,2.00
nj,Melissa Gorga,2400000.00,42.00,1.00,0.00,3.00,1.00,10.00,2.00
nj,Kathy Wakile,453000.00,56.00,1.00,0.00,5.00,0.00,3.00,2.00
nj,Teresa Aprea,25300.00,44.00,1.00,0.00,10.00,1.00,1.00,2.00
nj,Amber Marchese,99000.00,44.00,1.00,1.00,3.00,0.00,1.00,2.00
nj,Dolores Catania,803000.00,51.00,1.00,1.00,4.00,0.00,6.00,2.00
nj,Siggy Flicker,507000.00,54.00,1.00,1.00,5.00,0.00,2.00,2.00
nj,Margaret Josephs,632000.00,54.00,1.00,1.00,7.00,0.00,5.00,2.00
nj,Jennifer Aydin,396000.00,44.00,1.00,0.00,11.00,0.00,4.00,2.00
nj,Jackie Goldschneider,353000.00,45.00,1.00,0.00,2.00,0.00,4.00,2.00
dc,Mary Amons,4277.00,50.00,1.00,1.00,0.40,0.00,1.00,10.00
dc,Lynda Erkiletian,3510.00,64.00,1.00,2.00,10.00,0.00,1.00,10.00
dc,Cat Ommanney,3330.00,49.00,1.00,1.00,4.00,0.00,1.00,10.00
dc,Michaele Salahi,394000.00,56.00,1.00,1.00,10.00,0.00,1.00,10.00
dc,Stacie Scott Turner,336.00,54.00,0.00,1.00,18.00,0.00,1.00,10.00
bh,Taylor Armstrong,112000.00,50.00,1.00,1.00,2.50,0.00,3.00,6.00
bh,Camille Grammer,671000.00,53.00,1.00,1.00,50.00,0.00,2.00,6.00
bh,Adrienne Maloof,524000.00,60.00,1.00,1.00,50.00,0.00,3.00,6.00
bh,Kim Richards,603000.00,57.00,1.00,1.00,0.40,1.00,5.00,6.00
bh,Kyle Richards,3700000.00,53.00,1.00,1.00,100.00,0.00,12.00,6.00
bh,Lisa Vanderpump,2800000.00,61.00,1.00,0.00,90.00,0.00,9.00,6.00
bh,Brandi Glanville,615000.00,49.00,1.00,1.00,5.00,1.00,3.00,6.00
bh,Yolanda Hadid,3700000.00,58.00,1.00,2.00,45.00,0.00,4.00,6.00
bh,Carlton Gebbia,23200.00,48.00,1.00,1.00,100.00,0.00,1.00,6.00
bh,Joyce Giraud de Ohoven,133000.00,46.00,0.00,0.00,10.00,0.00,1.00,6.00
bh,Eileen Davidson,488000.00,62.00,1.00,2.00,3.00,0.00,3.00,6.00
bh,Lisa Rinna,3100000.00,58.00,1.00,0.00,10.00,0.00,8.00,6.00
bh,Kathryn Edwards,34200.00,57.00,1.00,0.00,8.00,0.00,1.00,6.00
bh,Erika Girardi,2500000.00,50.00,1.00,2.00,5.00,0.00,7.00,6.00
bh,Dorit Kemsley,1300000.00,45.00,1.00,0.00,50.00,0.00,6.00,6.00
bh,Teddi Mellencamp Arroyave,1000000.00,40.00,1.00,1.00,15.00,0.00,3.00,6.00
bh,Denise Richards,1400000.00,50.00,1.00,1.00,12.00,0.00,2.00,6.00
bh,Garcelle Beauvais,1000000.00,55.00,0.00,2.00,8.00,0.00,3.00,6.00
bh,Crystal Kung Minkoff,319000.00,36.00,0.00,0.00,30.00,0.00,2.00,6.00
bh,Sutton Stracke,353000.00,50.00,1.00,1.00,50.00,0.00,2.00,6.00
bh,Diana Jenkins,21900.00,48.00,1.00,1.00,300.00,0.00,1.00,6.00
m,Lea Black,67200.00,65.00,1.00,0.00,85.00,0.00,3.00,9.00
m,Alexia Echevarria,146000.00,54.00,1.00,0.00,3.00,0.00,3.00,9.00
m,Adriana de Moura,58300.00,56.00,0.00,1.00,10.00,0.00,3.00,9.00
m,Marysol Patton,192000.00,55.00,1.00,1.00,15.00,1.00,2.00,9.00
m,Larsa Pippen,3100000.00,47.00,0.00,1.00,10.00,0.00,2.00,9.00
m,Cristy Rice,9657.00,50.00,1.00,1.00,10.00,0.00,1.00,9.00
m,Lisa Hochstein,454000.00,39.00,1.00,0.00,50.00,0.00,3.00,9.00
m,Joanna Krupa,1700000.00,42.00,1.00,1.00,8.00,0.00,2.00,9.00
m,Ana Quincoces,137000.00,56.00,1.00,1.00,9.00,1.00,1.00,9.00
m,Karent Sierra,39200.00,48.00,1.00,0.00,0.40,0.00,1.00,9.00
m,Guerdy Abraira,50500.00,43.00,0.00,0.00,10.00,0.00,1.00,9.00
m,Julia Lemigova,13100.00,49.00,1.00,0.00,3.00,0.00,1.00,9.00
m,Nicole Martin,33200.00,38.00,0.00,0.00,3.00,0.00,1.00,9.00
p,Gizelle Bryant,661000.00,51.00,0.00,1.00,4.00,0.00,6.00,4.00
p,Ashley Darby,570000.00,33.00,0.00,0.00,6.00,0.00,6.00,4.00
p,Robyn Dixon,546000.00,42.00,0.00,1.00,6.00,0.00,6.00,4.00
p,Karen Huger,481000.00,58.00,0.00,0.00,10.00,1.00,6.00,4.00
p,Charrisse Jackson-Jordan,146000.00,56.00,0.00,1.00,5.00,0.00,2.00,4.00
p,Katie Rost,56900.00,41.00,0.00,1.00,3.20,0.00,1.00,4.00
p,Monique Samuels,641000.00,38.00,0.00,0.00,4.00,1.00,4.00,4.00
p,Candiace Dillard Bassett,356000.00,35.00,0.00,0.00,4.50,1.00,4.00,4.00
p,Wendy Osefo,497000.00,37.00,0.00,0.00,1.50,0.00,2.00,4.00
p,Mia Thornton,114000.00,37.00,0.00,0.00,5.00,0.00,1.00,4.00
d,Cary Deuber,295000.00,45.00,1.00,0.00,1.50,0.00,3.00,8.00
d,Tiffany Hendra,75700.00,50.00,0.00,0.00,1.80,1.00,1.00,8.00
d,Stephanie Hollman,601000.00,41.00,1.00,0.00,18.00,0.00,5.00,8.00
d,LeeAnne Locken,967000.00,54.00,1.00,0.00,2.50,1.00,4.00,8.00
d,Brandi Redmond,511000.00,43.00,1.00,0.00,4.00,0.00,5.00,8.00
d,D'Andra Simmons,269000.00,52.00,0.00,0.00,4.00,0.00,4.00,8.00
d,Kameron Westcott,346000.00,39.00,1.00,0.00,4.50,0.00,4.00,8.00
d,Kary Brittingham,105000.00,51.00,1.00,1.00,2.50,0.00,2.00,8.00
d,Tiffany Moon,630000.00,37.00,0.00,0.00,2.50,0.00,1.00,8.00
slc,Lisa Barlow,205000.00,47.00,1.00,0.00,5.00,0.00,2.00,7.00
slc,Mary Cosby,103000.00,49.00,0.00,1.00,5.00,1.00,2.00,7.00
slc,Heather Gay,334000.00,49.00,1.00,1.00,1.70,0.00,2.00,7.00
slc,Meredith Marks,360000.00,49.00,1.00,0.00,1.00,0.00,2.00,7.00
slc,Whitney Rose,305000.00,34.00,1.00,1.00,3.00,0.00,2.00,7.00
slc,Jen Shah,182000.00,48.00,0.00,0.00,3.00,1.00,2.00,7.00
slc,Jennie Nguyen,50900.00,44.00,0.00,0.00,3.00,0.00,1.00,7.00